id,附加费,币种,20底,40底,40HQ底,单票,付款方式
203673,DOC,CNY,,,,450.0,PREPAID
203673,THC,CNY,784,1216,1216,,PREPAID
203673,EIR,CNY,40,40,40,,PREPAID
203673,SEAL,CNY,30,30,30,,PREPAID
203673,AFR,USD,,,,30.0,PREPAID
203673,TLX,CNY,,,,450.0,PREPAID
203673,LSS,USD,15,30,30,,PREPAID
203672,DOC,CNY,,,,450.0,PREPAID
203672,THC,CNY,784,1216,1216,,PREPAID
203672,EIR,CNY,40,40,40,,PREPAID
203672,SEAL,CNY,30,30,30,,PREPAID
203672,AFR,USD,,,,30.0,PREPAID
203672,TLX,CNY,,,,450.0,PREPAID
203672,LSS,USD,15,30,30,,PREPAID
203671,DOC,CNY,,,,450.0,PREPAID
203671,THC,CNY,784,1216,1216,,PREPAID
203671,EIR,CNY,40,40,40,,PREPAID
203671,SEAL,CNY,30,30,30,,PREPAID
203671,AFR,USD,,,,30.0,PREPAID
203671,TLX,CNY,,,,450.0,PREPAID
203671,LSS,USD,15,30,30,,PREPAID
203670,DOC,CNY,,,,450.0,PREPAID
201097,THC,CNY,646,997,997,,PREPAID
203670,THC,CNY,784,1216,1216,,PREPAID
201097,TLX,CNY,,,,450.0,PREPAID
203670,EIR,CNY,40,40,40,,PREPAID
201097,DOC,CNY,,,,500.0,PREPAID
203670,SEAL,CNY,30,30,30,,PREPAID
201097,SEAL,CNY,30,30,30,,PREPAID
203670,AFR,USD,,,,30.0,PREPAID
201097,EIR,CNY,40,40,40,,PREPAID
203670,TLX,CNY,,,,450.0,PREPAID
201097,AFR,USD,30,30,30,,PREPAID
203670,LSS,USD,15,30,30,,PREPAID
201097,LSS,USD,15,30,30,,PREPAID
203669,DOC,CNY,,,,450.0,PREPAID
201096,THC,CNY,646,997,997,,PREPAID
203669,THC,CNY,784,1216,1216,,PREPAID
201096,TLX,CNY,,,,450.0,PREPAID
201096,DOC,CNY,,,,500.0,PREPAID
203669,EIR,CNY,40,40,40,,PREPAID
201096,SEAL,CNY,30,30,30,,PREPAID
203669,SEAL,CNY,30,30,30,,PREPAID
201096,EIR,CNY,40,40,40,,PREPAID
203669,AFR,USD,,,,30.0,PREPAID
203669,TLX,CNY,,,,450.0,PREPAID
201096,AFR,USD,30,30,30,,PREPAID
201096,LSS,USD,15,30,30,,PREPAID
203669,LSS,USD,15,30,30,,PREPAID
201163,THC,CNY,646,997,997,,PREPAID
201095,THC,CNY,646,997,997,,PREPAID
201163,TLX,CNY,,,,450.0,PREPAID
201095,TLX,CNY,,,,450.0,PREPAID
201163,DOC,CNY,,,,500.0,PREPAID
201095,DOC,CNY,,,,500.0,PREPAID
201163,SEAL,CNY,30,30,30,,PREPAID
201095,SEAL,CNY,30,30,30,,PREPAID
201095,EIR,CNY,40,40,40,,PREPAID
201095,AFR,USD,30,30,30,,PREPAID
201163,EIR,CNY,40,40,40,,PREPAID
201095,LSS,USD,15,30,30,,PREPAID
201163,AFR,USD,30,30,30,,PREPAID
201163,LSS,USD,15,30,30,,PREPAID
201084,THC,CNY,646,997,997,,PREPAID
201091,THC,CNY,646,997,997,,PREPAID
201091,TLX,CNY,,,,450.0,PREPAID
201084,TLX,CNY,,,,450.0,PREPAID
201091,DOC,CNY,,,,500.0,PREPAID
201162,THC,CNY,646,997,997,,PREPAID
201084,DOC,CNY,,,,500.0,PREPAID
201162,TLX,CNY,,,,450.0,PREPAID
201091,SEAL,CNY,30,30,30,,PREPAID
201084,SEAL,CNY,30,30,30,,PREPAID
201162,DOC,CNY,,,,500.0,PREPAID
201091,EIR,CNY,40,40,40,,PREPAID
201084,EIR,CNY,40,40,40,,PREPAID
201162,SEAL,CNY,30,30,30,,PREPAID
201091,AFR,USD,30,30,30,,PREPAID
201084,PTS,CNY,330,467,467,,PREPAID
201162,EIR,CNY,40,40,40,,PREPAID
201084,AFR,USD,30,30,30,,PREPAID
201162,AFR,USD,30,30,30,,PREPAID
201084,LSS,USD,15,30,30,,PREPAID
201162,LSS,USD,15,30,30,,PREPAID
201090,THC,CNY,646,997,997,,PREPAID
201090,TLX,CNY,,,,450.0,PREPAID
201080,THC,CNY,646,997,997,,PREPAID
201161,THC,CNY,646,997,997,,PREPAID
201090,DOC,CNY,,,,500.0,PREPAID
201080,TLX,CNY,,,,450.0,PREPAID
201090,SEAL,CNY,30,30,30,,PREPAID
201161,TLX,CNY,,,,450.0,PREPAID
201080,DOC,CNY,,,,500.0,PREPAID
201090,EIR,CNY,40,40,40,,PREPAID
201161,DOC,CNY,,,,500.0,PREPAID
201080,SEAL,CNY,30,30,30,,PREPAID
201090,AFR,USD,30,30,30,,PREPAID

201080,EIR,CNY,40,40,40,,PREPAID
201161,EIR,CNY,40,40,40,,PREPAID
201090,LSS,USD,15,30,30,,PREPAID
201080,AFR,USD,30,30,30,,PREPAID
201080,LSS,USD,15,30,30,,PREPAID
201161,LSS,USD,15,30,30,,PREPAID
201089,THC,CNY,646,997,997,,PREPAID
201160,THC,CNY,646,997,997,,PREPAID
201089,TLX,CNY,,,,450.0,PREPAID
