id,附加费代码,附加费名称,船司,航线,起运港,目的港,币种,20底,40底,40HQ底,单票,付款方式
179925,THC,码头操作费,YML,越南,ZHUHAI,HAIPHONG,CNY,890,1365,1365,,PREPAID
179925,DOC,文件费,YML,越南,ZHUHAI,HAIPHONG,CNY,,,,450.0,PREPAID
179925,SEAL,封条费,YML,越南,ZHUHAI,HAIPHONG,CNY,30,30,30,,PREPAID
179925,TLX,电放费,YML,越南,ZHUHAI,HAIPHONG,CNY,,,,450.0,PREPAID
179925,LSS,低硫附加费,YML,越南,ZHUHAI,HAIPHONG,USD,16,32,32,,PREPAID
179925,ISPS,港口安保费,YML,越南,ZHUHAI,HAIPHONG,USD,10,10,10,,PREPAID
179910,THC,码头操作费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,890,1365,1365,,PREPAID
179910,DOC,文件费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,,,,450.0,PREPAID
179910,SEAL,封条费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,30,30,30,,PREPAID
179910,TLX,电放费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,,,,450.0,PREPAID
179910,ISPS,港口安保费,YML,越南,ZHONGSHAN,HAIPHONG,USD,10,10,10,,PREPAID
179910,LSS,低硫附加费,YML,越南,ZHONGSHAN,HAIPHONG,USD,16,32,32,,PREPAID
179895,THC,码头操作费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,890,1365,1365,,PREPAID
179895,DOC,文件费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,,,,450.0,PREPAID
179895,SEAL,封条费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,30,30,30,,PREPAID
179895,TLX,电放费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,,,,450.0,PREPAID
179895,ISPS,港口安保费,YML,越南,ZHONGSHAN,HAIPHONG,USD,10,10,10,,PREPAID
179895,LSS,低硫附加费,YML,越南,ZHONGSHAN,HAIPHONG,USD,16,32,32,,PREPAID
179885,THC,码头操作费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,890,1365,1365,,PREPAID
179885,DOC,文件费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,,,,450.0,PREPAID
179885,SEAL,封条费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,30,30,30,,PREPAID
179885,TLX,电放费,YML,越南,ZHONGSHAN,HAIPHONG,CNY,,,,450.0,PREPAID
179885,ISPS,港口安保费,YML,越南,ZHONGSHAN,HAIPHONG,USD,10,10,10,,PREPAID
179885,LSS,低硫附加费,YML,越南,ZHONGSHAN,HAIPHONG,USD,16,32,32,,PREPAID
203727,DOC,文件费,HMM,欧洲,SHENZHEN,GOTHENBURG,CNY,,,,450.0,PREPAID
203727,EIR,打单费,HMM,欧洲,SHENZHEN,GOTHENBURG,CNY,35,35,35,,PREPAID
203727,ENS,欧洲舱单费,HMM,欧洲,SHENZHEN,GOTHENBURG,USD,,,,30.0,PREPAID
203727,LSS,低硫附加费,HMM,欧洲,SHENZHEN,GOTHENBURG,USD,79,158,158,,PREPAID
203727,THC,码头操作费,HMM,欧洲,SHENZHEN,GOTHENBURG,CNY,797,1509,1509,,PREPAID
203727,SEAL,封条费,HMM,欧洲,SHENZHEN,GOTHENBURG,CNY,55,55,55,,PREPAID
203727,BAF,燃油附加费,HMM,欧洲,SHENZHEN,GOTHENBURG,USD,0,0,0,,PREPAID
197631,THC,码头操作费,MCC,韩国,SHENZHEN,BUSAN,CNY,650,1000,1000,,PREPAID
197631,VGM,经核实的集装箱总重,MCC,韩国,SHENZHEN,BUSAN,CNY,20,20,20,,PREPAID
197631,SEAL,封条费,MCC,韩国,SHENZHEN,BUSAN,CNY,60,60,60,,PREPAID
197631,DOC,文件费,MCC,韩国,SHENZHEN,BUSAN,CNY,,,,450.0,PREPAID
197631,TLX,电放费,MCC,韩国,SHENZHEN,BUSAN,CNY,,,,450.0,PREPAID
197631,LSS,低硫附加费,MCC,韩国,SHENZHEN,BUSAN,USD,15,30,30,,PREPAID
187876,DOC,文件费,HMM,欧洲,SHENZHEN,LE HAVRE,CNY,,,,450.0,PREPAID
