id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
151463666,SHANGHAI,DURBAN,SAF,-,,非洲线,25,3,直达,洋山,737,1424,1424,08-05,08-31,九爪鱼,,,
151463667,SHANGHAI,PORT ELIZABETH,SAF,-,,非洲线,31,3,直达,洋山,737,1424,1424,08-05,08-31,九爪鱼,,,
151463679,SHANGHAI,PORT LOUIS,SAF,-,,非洲线,20,3,直达,洋山,837,1574,1574,08-05,08-31,九爪鱼,,,
151463691,SHANGHAI,REUNION,SAF,-,,非洲线,27,"1,3,7",MYTPP,洋山,926,1644,1644,08-05,08-31,九爪鱼,,,
151306364,SHANGHAI,PORT LOUIS,PIL,-,,非洲线,23,7,直达,洋山,935,1859,1859,08-01,08-31,九爪鱼,周二（洋山） 周三/四（外港）,,
151463668,SHANGHAI,CAPE TOWN,SAF,-,,非洲线,28,4,直达,洋山,937,1724,1724,08-05,08-31,九爪鱼,,,
151306365,SHANGHAI,REUNION,PIL,-,,非洲线,25,7,直达,洋三,962,1887,1887,08-01,08-31,九爪鱼,"周二（洋山） 周三/四（外港）
ENS USD25/票",,
151463680,SHANGHAI,EAST LONDON,SAF,-,,非洲线,39,3,PORT ELIZABETH,洋山,1037,2024,2024,08-05,08-31,九爪鱼,,,
151688494,SHANGHAI,MOMBASA,SAF,-,,非洲线,22,"3,4,5,6",MYTPP,洋山,1191,2074,2074,08-21,08-31,九爪鱼,,,
151463702,SHANGHAI,TAMATAVE,SAF,-,,非洲线,29,"1,3,7",MYTPP,洋山,1201,2144,2144,08-05,08-31,九爪鱼,,,
151306363,SHANGHAI,TAMATAVE,PIL,-,,非洲线,32,"3,4",SINGAPORE,外一,1285,2560,2560,08-01,08-31,九爪鱼,,,
151688495,SHANGHAI,DAR ES SALAAM,SAF,-,,非洲线,26,"3,4,5,6",MYTPP,洋山,1316,2324,2324,08-21,08-31,九爪鱼,,,
151306360,SHANGHAI,BEIRA,PIL,-,,非洲线,30,7,SINGAPORE,洋山,1435,2860,2860,08-01,08-31,九爪鱼,"货重超过18T 收超重费USD150(20GP,40GP,40HQ 都适用）",,
151306362,SHANGHAI,NACALA,PIL,-,,非洲线,30,7,HONG KONG,洋山,1435,2860,2860,08-01,08-31,九爪鱼,小箱货重超过20T 收超重费USD150,,
151306361,SHANGHAI,MAPUTO,PIL,-,,非洲线,30,7,SINGAPORE,洋山,1435,2860,2860,08-01,08-31,九爪鱼,小箱货重超过20T 收超重费USD150,,
151463685,SHANGHAI,BEIRA,SAF,-,,非洲线,39,"1,3,7",MYTPP,洋山,1501,2744,2744,08-05,08-31,九爪鱼,,,
151463687,SHANGHAI,NACALA,SAF,-,,非洲线,47,"1,3",MYTPP,洋山,1501,2744,2744,08-05,08-31,九爪鱼,,,
151463686,SHANGHAI,MAPUTO,SAF,-,,非洲线,28,"1,3,7",MYTPP,洋山,1501,2744,2744,08-05,08-31,九爪鱼,,,
151688496,SHANGHAI,BERBERA,SAF,-,,非洲线,28,"3,7",SALALAH,洋山,1526,2409,2409,08-21,08-31,九爪鱼,,,
151688498,SHANGHAI,DJIBOUTI,SAF,-,,红海线,24,"2,6,7",MYTPP,洋山,1570,2640,2640,08-21,08-31,九爪鱼,,,
151688607,SHANGHAI,"MANZANILLO,MEXICO",COSCO,-,,中南美,18,"5,6",直达,洋山,1650,1700,1700,08-22,09-01,九爪鱼,,,
151688618,SHANGHAI,CALLAO,COSCO,-,,中南美,25,"5,6",直达,洋山,1650,1700,1700,08-22,09-01,九爪鱼,,,
151688617,SHANGHAI,ARICA,COSCO,-,,中南美,28,6,CALLAO,洋三,1750,2100,2100,08-22,09-01,九爪鱼,,,
151688620,SHANGHAI,GUAYAQUIL,COSCO,-,,中南美,25,"5,6",直达,洋山,1750,1800,1800,08-22,09-01,九爪鱼,,,
151463703,SHANGHAI,"VICTORIA,SC",SAF,-,,非洲线,31,3,PORT LOUIS,洋山,1801,3344,3344,08-05,08-31,九爪鱼,,,
151688621,SHANGHAI,IQUIQUE,COSCO,-,,中南美,28,5,CALLAO,洋山,1800,1950,1950,08-22,09-01,九爪鱼,,,
151688616,SHANGHAI,PUERTO CALDERA,COSCO,-,,中南美,33,"5,6","MANZANILLO,MEXICO",洋山,1820,2040,2040,08-22,09-01,九爪鱼,,,
151688609,SHANGHAI,GUADALAJARA,COSCO,-,,中南美,24,"5,6","MANZANILLO,MEXICO",洋山,2020,2120,2120,08-22,09-01,九爪鱼,RAIL VIA MANZANILLO,,
151688612,SHANGHAI,SANTO TOMAS DE CASTILLA,COSCO,-,,中南美,38,1,"MANZANILLO,PA",洋一,2070,2240,2240,08-22,09-01,九爪鱼,,,
151688610,SHANGHAI,MEXICO CITY,COSCO,-,,中南美,24,"5,6",LAZARO CARDENAS,洋山,2150,2400,2400,08-22,09-01,九爪鱼,RAIL VIA LAZARO CARDENAS,,
151688598,SHANGHAI,MEXICO CITY,COSCO,-,,中南美,24,"5,6","MANZANILLO,MEXICO",洋山,2230,2450,2450,08-22,09-01,九爪鱼,RAIL VIA MANZANILLO,,
151688613,SHANGHAI,SAN JOSE,COSCO,-,,,35,"5,6",PUERTO CALDERA,洋山,2240,2460,2460,08-22,09-01,九爪鱼,,,
151688615,SHANGHAI,GUATEMALA CITY,COSCO,-,,中南美,33,5,PUERTO QUETZAL,洋山,2245,2440,2440,08-22,09-01,九爪鱼,,,
151688608,SHANGHAI,MONTERREY,COSCO,-,,中南美,24,"5,6",LAZARO CARDENAS,洋山,2250,2450,2450,08-22,09-01,九爪鱼,RAIL VIA LAZARO CARDENAS,,
151688604,SHANGHAI,GUADALAJARA,COSCO,-,,中南美,25,"5,6","MANZANILLO,MEXICO",洋山,2270,2370,2370,08-22,09-01,九爪鱼,RAIL + TRUCK VIA MANZANILLO,,
151701854,SHANGHAI,COLON CONTAINER TERMINAL,COSCO,-,,中南美,23,7,直达,洋三,2300,2300,2300,08-22,08-31,九爪鱼,,,
151688595,SHANGHAI,MEXICO CITY,COSCO,-,,中南美,25,"5,6",LAZARO CARDENAS,洋山,2375,2575,2575,08-22,09-01,九爪鱼,RAIL+TRUCK VIA LAZARO CARDENAS,,
151688603,SHANGHAI,GUADALAJARA,COSCO,-,,中南美,26,"5,6","MANZANILLO,MEXICO",洋山,2400,2450,2450,08-22,09-01,九爪鱼,ALL TRUCK VIA MANZANILLO,,
151701855,SHANGHAI,COLON FREE ZONE,COSCO,-,,中南美,21,7,COLON CONTAINER TERMINAL,洋三,2400,2400,2400,08-22,08-31,九爪鱼,,,
151688597,SHANGHAI,MEXICO CITY,COSCO,-,,中南美,25,"5,6","MANZANILLO,MEXICO",洋山,2480,2700,2700,08-22,09-01,九爪鱼,RAIL + TRUCK VIA MANZANILLO,,
151688602,SHANGHAI,MONTERREY,COSCO,-,,中南美,24,"5,6","MANZANILLO,MEXICO",洋山,2490,2645,2645,08-22,09-01,九爪鱼,RAIL VIA MANZANILLO,,
151688611,SHANGHAI,MONTERREY,COSCO,-,,中南美,25,"5,6",LAZARO CARDENAS,洋山,2550,2750,2750,08-22,09-01,九爪鱼,RAIL+TRUCK VIA LAZARO CARDENAS,,
151701863,SHANGHAI,CARTAGENA,COSCO,-,,中南美,29,7,直达,洋三,2600,2600,2600,08-22,08-31,九爪鱼,,,
151701865,SHANGHAI,CAUCEDO,COSCO,-,,中南美,33,7,直达,洋一,2600,2600,2600,08-22,08-31,九爪鱼,,,
151701864,SHANGHAI,"KINGSTON,JM",COSCO,-,,中南美,33,7,直达,洋三,2600,2600,2600,08-22,08-31,九爪鱼,,,
151701856,SHANGHAI,PANAMA CITY,COSCO,-,,中南美,23,"1,7",COLON CONTAINER TERMINAL,洋三,2650,2650,2650,08-22,08-31,九爪鱼,,,
151701859,SHANGHAI,SAN JUAN,COSCO,-,,中南美,37,7,CAUCEDO,洋一,2700,2700,2700,08-22,08-31,九爪鱼,,,
151701866,SHANGHAI,PORT OF SPAIN,COSCO,-,,中南美,31,7,"KINGSTON,JM",洋一,2650,2700,2700,08-22,08-31,九爪鱼,,,
151701857,SHANGHAI,PARAMARIBO,COSCO,-,,中南美,48,7,CAUCEDO,洋三,2700,2700,2700,08-22,08-31,九爪鱼,,,
151701860,SHANGHAI,SANTA MARTA,COSCO,-,,中南美,29,4,COLON CONTAINER TERMINAL,洋三,2700,2700,2700,08-22,08-31,九爪鱼,,,
151701858,SHANGHAI,GEORGETOWN,COSCO,-,,中南美,47,7,CAUCEDO,洋三,2700,2700,2700,08-22,08-31,九爪鱼,,,
151688601,SHANGHAI,MONTERREY,COSCO,-,,中南美,25,"5,6","MANZANILLO,MEXICO",洋山,2740,2895,2895,08-22,09-01,九爪鱼,RAIL + TRUCK VIA MANZANILLO,,
151701859,SHANGHAI,SAN JUAN,COSCO,-,,中南美,37,7,CAUCEDO,洋一,2700,2700,2700,08-22,08-31,九爪鱼,,,
151688497,SHANGHAI,ZANZIBAR,SAF,-,,非洲线,34,"3,4,5,6",MYTPP,洋山,2766,5124,5124,08-21,08-31,九爪鱼,,,
151688596,SHANGHAI,MEXICO CITY,COSCO,-,,中南美,26,"5,6","MANZANILLO,MEXICO",洋山,2800,2850,2850,08-22,09-01,九爪鱼,ALL TRUCK VIA MANZANILLO,,
151688605,SHANGHAI,MEXICO CITY,COSCO,-,,中南美,26,"5,6",LAZARO CARDENAS,洋山,3000,3050,3050,08-22,09-01,九爪鱼,ALL TRUCK VIA LAZARO CARDENAS,,
151688600,SHANGHAI,MONTERREY,COSCO,-,,中南美,26,"5,6","MANZANILLO,MEXICO",洋山,3050,3100,3100,08-22,09-01,九爪鱼,ALL TRUCK VIA MANZANILLO,,
151688606,SHANGHAI,MONTERREY,COSCO,-,,中南美,26,"5,6",LAZARO CARDENAS,洋山,3250,3300,3300,08-22,09-01,九爪鱼,ALL TRUCK VIA LAZARO CARDENAS,,
151688593,SHANGHAI,ALTAMIRA,COSCO,-,,中南美,47,7,"KINGSTON,JM",洋山,3350,3400,3400,08-22,08-31,九爪鱼,,,
151688594,SHANGHAI,VERACRUZ,COSCO,-,,中南美,41,7,"KINGSTON,JM",洋山,3350,3400,3400,08-22,08-31,九爪鱼,,,
151701867,SHANGHAI,MARIEL,COSCO,-,,中南美,37,4,COLON CONTAINER TERMINAL,洋三,3550,3600,3600,08-22,08-31,九爪鱼,,,
151914112,SHANGHAI,HONG KONG,WHL,HIT,,香港线,3,5,直达,外四,30,60,60,08-28,09-03,九爪鱼,,,
151914453,SHANGHAI,HAIPHONG,KMTC,-,,东南亚,4,5,直达,外一,70,140,140,09-06,09-12,九爪鱼,",包含EBS,CIC",,
151915525,SHANGHAI,TAICHUNG,SNL,-,,台湾线,3,4,直达,外四,70,140,140,08-28,09-03,九爪鱼,,,
151915524,SHANGHAI,KAOHSIUNG,SNL,-,,台湾线,4,7,直达,外一,70,140,140,08-28,09-03,九爪鱼,,,
151915523,SHANGHAI,KAOHSIUNG,SNL,-,,台湾线,2,4,直达,外四,70,140,140,08-28,09-03,九爪鱼,,,
151915522,SHANGHAI,TAICHUNG,SNL,-,,台湾线,3,7,直达,外一,70,140,140,08-28,09-03,九爪鱼,,,
151913822,SHANGHAI,PYONG TAEK,EAS,-,,国线,2,7,直达,外六,100,200,200,08-28,09-03,九爪鱼,,,
