id,附加费代码,附加费名称,船司,航线,起运港,目的港,币种,20底,40底,40HQ底,单票,付款方式
151463666,WJ,文件费,SAF,非洲线,SHANGHAI,DURBAN,CNY,0,0,0,450,
151463666,THC,THC,SAF,非洲线,SHANGHAI,DURBAN,CNY,563,856,856,-,
151463666,ABF,安保费,SAF,非洲线,SHANGHAI,DURBAN,CNY,20,30,30,-,
151463666,AHR,舱单费,SAF,非洲线,SHANGHAI,DURBAN,CNY,100,100,100,-,
151463666,DC,订舱费,SAF,非洲线,SHANGHAI,DURBAN,CNY,420,510,510,-,
151463666,SBGLF,设备管理费,SAF,非洲线,SHANGHAI,DURBAN,CNY,50,50,50,-,
151463667,WJ,文件费,SAF,非洲线,SHANGHAI,PORT ELIZABETH,CNY,0,0,0,450,
151463667,THC,THC,SAF,非洲线,SHANGHAI,PORT ELIZABETH,CNY,563,856,856,-,
151463667,ABF,安保费,SAF,非洲线,SHANGHAI,PORT ELIZABETH,CNY,20,30,30,-,
151463667,AHR,舱单费,SAF,非洲线,SHANGHAI,PORT ELIZABETH,CNY,100,100,100,-,
151463667,DC,订舱费,SAF,非洲线,SHANGHAI,PORT ELIZABETH,CNY,420,510,510,-,
151463667,SBGLF,设备管理费,SAF,非洲线,SHANGHAI,PORT ELIZABETH,CNY,50,50,50,-,
151463679,WJ,文件费,SAF,非洲线,SHANGHAI,PORT LOUIS,CNY,0,0,0,450,
151463679,THC,THC,SAF,非洲线,SHANGHAI,PORT LOUIS,CNY,563,856,856,-,
151463679,ABF,安保费,SAF,非洲线,SHANGHAI,PORT LOUIS,CNY,20,30,30,-,
151463679,AHR,舱单费,SAF,非洲线,SHANGHAI,PORT LOUIS,CNY,100,100,100,-,
151463679,DC,订舱费,SAF,非洲线,SHANGHAI,PORT LOUIS,CNY,420,510,510,-,
151463679,SBGLF,设备管理费,SAF,非洲线,SHANGHAI,PORT LOUIS,CNY,50,50,50,-,
151701859,AHR,舱单费,COSCO,中南美,SHANGHAI,SAN JUAN,CNY,0,0,0,100,
151701859,WJ,文件费,COSCO,中南美,SHANGHAI,SAN JUAN,CNY,0,0,0,500,
151463691,WJ,文件费,SAF,非洲线,SHANGHAI,REUNION,CNY,0,0,0,450,
151701859,THC,THC,COSCO,中南美,SHANGHAI,SAN JUAN,CNY,680,1034,1034,-,
151701859,VGM,VGM,COSCO,中南美,SHANGHAI,SAN JUAN,CNY,20,20,20,-,
151463691,ABF,安保费,SAF,非洲线,SHANGHAI,REUNION,CNY,20,30,30,-,
151701859,DC,订舱费,COSCO,中南美,SHANGHAI,SAN JUAN,CNY,330,520,650,-,
151463691,DC,订舱费,SAF,非洲线,SHANGHAI,REUNION,CNY,420,510,510,-,
151701859,FZ,封志费,COSCO,中南美,SHANGHAI,SAN JUAN,CNY,50,50,50,-,
151701859,BUC,BUC,COSCO,中南美,SHANGHAI,SAN JUAN,USD,90,180,180,-,
0,50,-,
151701858,AHR,舱单费,COSCO,中南美,SHANGHAI,GEORGETOWN,CNY,0,0,0,100,
151306364,WJ,文件费,PIL,非洲线,SHANGHAI,PORT LOUIS,CNY,0,0,0,450,
151701858,WJ,文件费,COSCO,中南美,SHANGHAI,GEORGETOWN,CNY,0,0,0,500,
151306364,THC,THC,PIL,非洲线,SHANGHAI,PORT LOUIS,CNY,715,1128,1128,-,
151701858,THC,THC,COSCO,中南美,SHANGHAI,GEORGETOWN,CNY,680,1034,1034,-,
151306364,ABF,安保费,PIL,非洲线,SHANGHAI,PORT LOUIS,CNY,20,30,30,-,
151701858,VGM,VGM,COSCO,中南美,SHANGHAI,GEORGETOWN,CNY,20,20,20,-,
151306364,AHR,舱单费,PIL,非洲线,SHANGHAI,PORT LOUIS,CNY,100,100,100,-,
151701858,DC,订舱费,COSCO,中南美,SHANGHAI,GEORGETOWN,CNY,330,520,650,-,
151306364,DC,订舱费,PIL,非洲线,SHANGHAI,PORT LOUIS,CNY,270,380,380,-,
151701858,FZ,封志费,COSCO,中南美,SHANGHAI,GEORGETOWN,CNY,50,50,50,-,
151306364,SBGLF,设备管理费,PIL,非洲线,SHANGHAI,PORT LOUIS,CNY,35,35,35,-,
151701858,BUC,BUC,COSCO,中南美,SHANGHAI,GEORGETOWN,USD,90,180,180,-,
151914404,WJ,文件费,SINKOR,日本,SHANGHAI,IMABARI,CNY,0,0,0,450,
151914404,THC,THC,SINKOR,日本,SHANGHAI,IMABARI,CNY,656,998,998,-,
151914404,DC,订舱费,SINKOR,日本,SHANGHAI,IMABARI,CNY,225,350,350,-,
151463668,WJ,文件费,SAF,非洲线,SHANGHAI,CAPE TOWN,CNY,0,0,0,450,
151914404,AFR,日本舱单,SINKOR,日本,SHANGHAI,IMABARI,USD,0,0,0,30,
151463668,THC,THC,SAF,非洲线,SHANGHAI,CAPE TOWN,CNY,563,856,856,-,
151914404,BAF,BAF,SINKOR,日本,SHANGHAI,IMABARI,USD,50,100,100,-,
151688601,AHR,舱单费,COSCO,中南美,SHANGHAI,MONTERREY,CNY,0,0,0,100,
151463668,ABF,安保费,SAF,非洲线,SHANGHAI,CAPE TOWN,CNY,20,30,30,-,
151914404,LSS,LSS,SINKOR,日本,SHANGHAI,IMABARI,USD,20,40,40,-,
151688601,WJ,文件费,COSCO,中南美,SHANGHAI,MONTERREY,CNY,0,0,0,500,
151463668,AHR,舱单费,SAF,非洲线,SHANGHAI,CAPE TOWN,CNY,100,100,100,-,
151463668,DC,订舱费,SAF,非洲线,SHANGHAI,CAPE TOWN,CNY,420,510,510,-,
151463668,SBGLF,设备管理费,SAF,非洲线,SHANGHAI,CAPE TOWN,CNY,50,50,50,-,
