id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
200041,XIAMEN,"Calgary,AB",APL,VANTERM,CAIPI,WAX,25,2/4,"Vancouver,BC",YUANHAI,2010,2490,2490,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200299,XIAMEN,"Calgary,AB",COSCON,CCT,CAIPI,CPNW,32,4/5,"Vancouver,BC",YUANHAI,2430,2690,2690,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200330,XIAMEN,"Calgary,AB",COSCON,VANTERM,CAIPI,MPNW,25,2/4,"Vancouver,BC",YUANHAI,2430,2690,2690,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200300,XIAMEN,"Calgary,AB",COSCON,FAIRVIEW,CAIPI,CPNW,30,4/5,"Prince Rupert,BC",YUANHAI,2520,2790,2790,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
219520,XIAMEN,"Baltimore,MD",HSD,SEAGIRT,USEC,ASUS SLING 2,34,5/7,,SONGYU,2593,2607,2607,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201699,XIAMEN,"Baltimore,MD",APL,Seagirt,USEC,AW5,35,2/5,,YUANHAI,2100,2610,2610,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200025,XIAMEN,"Atlanta,GA",APL,Goergia,USRIPI,AW2,38,6/1,"Savannah,GA",YUANHAI,2610,3230,3230,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200025,XIAMEN,"Atlanta,GA",APL,Goergia,USRIPI,AW2,38,6/1,"Savannah,GA",YUANHAI,2610,3230,3230,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200246,XIAMEN,"Baltimore,MD",COSCON,Seagirt,USEC,AWE3,35,3/5,,YUANHAI,2140,2650,2650,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200047,XIAMEN,"Atlanta,GA",APL,Goergia,USRIPI,AW5,39,2/5,"Savannah,GA",YUANHAI,2610,3230,3230,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
