id,附加费,单位,币种,20底,40底,40HQ底,单票
200041,GJF,GH,RMB,64,96,96,
200041,DCF,P,RMB,,,,82
200041,DOC,P,RMB,,,,450
200041,SEAL,X,RMB,,,,30
200041,THC,GH,RMB,550,825,825,
200041,TELEX,P,RMB,,,,500
200041,EIR,X,RMB,,,,35
200025,GJF,GH,RMB,64,96,96,
200025,DCF,P,RMB,,,,82
200025,DOC,P,RMB,,,,450
200025,GJF,GH,RMB,64,96,96,
200025,SEAL,X,RMB,,,,30
200025,DCF,P,RMB,,,,82
200025,THC,GH,RMB,550,825,825,
200025,DOC,P,RMB,,,,450
200025,TELEX,P,RMB,,,,500
200025,SEAL,X,RMB,,,,30
200025,EIR,X,RMB,,,,35
200025,THC,GH,RMB,550,825,825,
200025,TELEX,P,RMB,,,,500
200025,EIR,X,RMB,,,,35
200299,GJF,GH,RMB,64,96,96,
200299,DCF,P,RMB,,,,102
200299,DOC,P,RMB,,,,500
200299,SEAL,X,RMB,,,,30
200299,THC,GH,RMB,646,982,982,
200299,TELEX,P,RMB,,,,300
200299,EIR,X,RMB,,,,30
201699,GJF,GH,RMB,64,96,96,
201699,DCF,P,RMB,,,,82
201699,DOC,P,RMB,,,,450
201699,SEAL,X,RMB,,,,30
201699,THC,GH,RMB,550,825,825,
201699,TELEX,P,RMB,,,,500
201699,EIR,X,RMB,,,,35
200026,GJF,GH,RMB,64,96,96,
200026,DCF,P,RMB,,,,82
200026,DOC,P,RMB,,,,450
200026,SEAL,X,RMB,,,,30
200047,GJF,GH,RMB,64,96,96,
200026,THC,GH,RMB,550,825,825,
200047,DCF,P,RMB,,,,82
200026,TELEX,P,RMB,,,,500
200026,EIR,X,RMB,,,,35
200047,DOC,P,RMB,,,,450
200047,SEAL,X,RMB,,,,30
200047,GJF,GH,RMB,64,96,96,
200047,THC,GH,RMB,550,825,825,
200047,DCF,P,RMB,,,,82
200047,TELEX,P,RMB,,,,500
200047,DOC,P,RMB,,,,450
200047,EIR,X,RMB,,,,35
200047,SEAL,X,RMB,,,,30
200047,THC,GH,RMB,550,825,825,
200047,TELEX,P,RMB,,,,500
200047,EIR,X,RMB,,,,35
201193,GJF,GH,RMB,64,96,96,
200330,GJF,GH,RMB,64,96,96,
201193,DCF,P,RMB,,,,102
200330,DOC,P,RMB,,,,500
201193,DOC,P,RMB,,,,500
201193,SEAL,X,RMB,,,,30
200330,SEAL,X,RMB,,,,30
201193,THC,GH,RMB,646,982,982,
200330,THC,GH,RMB,646,982,982,
201193,TELEX,P,RMB,,,,300
200330,TELEX,P,RMB,,,,300
201193,EIR,X,RMB,,,,30
200330,EIR,X,RMB,,,,30
201011,GJF,GH,RMB,64,96,96,
201011,DCF,P,RMB,,,,82
201011,DOC,P,RMB,,,,450
200300,GJF,GH,RMB,64,96,96,
201011,SEAL,X,RMB,,,,30
200300,DCF,P,RMB,,,,102
201011,THC,GH,RMB,550,825,825,
